"Datum";"+A/73068189 [kW]";"Status";
"02.01.2025 14:15:00";3,443;"namìøená data OK";
"02.01.2025 14:30:00";1,338;"namìøená data OK";
"02.01.2025 14:45:00";0,786;"namìøená data OK";
"02.01.2025 15:00:00";0,797;"namìøená data OK";
"02.01.2025 15:15:00";0,799;"namìøená data OK";
"02.01.2025 15:30:00";0,787;"namìøená data OK";
"02.01.2025 15:45:00";1,05;"namìøená data OK";
"02.01.2025 16:00:00";1,025;"namìøená data OK";
"02.01.2025 16:15:00";1,048;"namìøená data OK";
"02.01.2025 16:30:00";1,087;"namìøená data OK";
"02.01.2025 16:45:00";1,103;"namìøená data OK";
"02.01.2025 17:00:00";1,071;"namìøená data OK";
"02.01.2025 17:15:00";1,207;"namìøená data OK";
"02.01.2025 17:30:00";1,279;"namìøená data OK";
"02.01.2025 17:45:00";1,234;"namìøená data OK";
"02.01.2025 18:00:00";1,108;"namìøená data OK";
"02.01.2025 18:15:00";1,174;"namìøená data OK";
"02.01.2025 18:30:00";1,438;"namìøená data OK";
"02.01.2025 18:45:00";1,474;"namìøená data OK";
"02.01.2025 19:00:00";1,427;"namìøená data OK";
"02.01.2025 19:15:00";1,271;"namìøená data OK";
"02.01.2025 19:30:00";1,419;"namìøená data OK";
"02.01.2025 19:45:00";1,338;"namìøená data OK";
"02.01.2025 20:00:00";1,439;"namìøená data OK";
"02.01.2025 20:15:00";1,462;"namìøená data OK";
"02.01.2025 20:30:00";1,455;"namìøená data OK";
"02.01.2025 20:45:00";1,415;"namìøená data OK";
"02.01.2025 21:00:00";1,482;"namìøená data OK";
"02.01.2025 21:15:00";1,569;"namìøená data OK";
"02.01.2025 21:30:00";1,464;"namìøená data OK";
"02.01.2025 21:45:00";1,401;"namìøená data OK";
"02.01.2025 22:00:00";1,441;"namìøená data OK";
"02.01.2025 22:15:00";1,72;"namìøená data OK";
"02.01.2025 22:30:00";1,676;"namìøená data OK";
"02.01.2025 22:45:00";1,672;"namìøená data OK";
"02.01.2025 23:00:00";1,588;"namìøená data OK";
"02.01.2025 23:15:00";1,543;"namìøená data OK";
"02.01.2025 23:30:00";1,464;"namìøená data OK";
"02.01.2025 23:45:00";1,529;"namìøená data OK";
"02.01.2025 24:00:00";1,648;"namìøená data OK";
"03.01.2025 00:15:00";1,699;"namìøená data OK";
"03.01.2025 00:30:00";1,648;"namìøená data OK";
"03.01.2025 00:45:00";1,567;"namìøená data OK";
"03.01.2025 01:00:00";1,723;"namìøená data OK";
"03.01.2025 01:15:00";1,508;"namìøená data OK";
"03.01.2025 01:30:00";1,459;"namìøená data OK";
"03.01.2025 01:45:00";1,544;"namìøená data OK";
"03.01.2025 02:00:00";1,737;"namìøená data OK";
"03.01.2025 02:15:00";1,607;"namìøená data OK";
"03.01.2025 02:30:00";1,68;"namìøená data OK";
"03.01.2025 02:45:00";1,634;"namìøená data OK";
"03.01.2025 03:00:00";1,655;"namìøená data OK";
"03.01.2025 03:15:00";1,526;"namìøená data OK";
"03.01.2025 03:30:00";1,5;"namìøená data OK";
"03.01.2025 03:45:00";1,756;"namìøená data OK";
"03.01.2025 04:00:00";1,789;"namìøená data OK";
"03.01.2025 04:15:00";1,696;"namìøená data OK";
"03.01.2025 04:30:00";1,581;"namìøená data OK";
"03.01.2025 04:45:00";1,668;"namìøená data OK";
"03.01.2025 05:00:00";1,577;"namìøená data OK";
"03.01.2025 05:15:00";1,634;"namìøená data OK";
"03.01.2025 05:30:00";1,584;"namìøená data OK";
"03.01.2025 05:45:00";1,613;"namìøená data OK";
"03.01.2025 06:00:00";1,536;"namìøená data OK";
"03.01.2025 06:15:00";1,649;"namìøená data OK";
"03.01.2025 06:30:00";1,755;"namìøená data OK";
"03.01.2025 06:45:00";1,664;"namìøená data OK";
"03.01.2025 07:00:00";1,515;"namìøená data OK";
"03.01.2025 07:15:00";1,584;"namìøená data OK";
"03.01.2025 07:30:00";1,806;"namìøená data OK";
"03.01.2025 07:45:00";1,744;"namìøená data OK";
"03.01.2025 08:00:00";1,649;"namìøená data OK";
"03.01.2025 08:15:00";1,618;"namìøená data OK";
"03.01.2025 08:30:00";1,785;"namìøená data OK";
"03.01.2025 08:45:00";1,761;"namìøená data OK";
"03.01.2025 09:00:00";1,702;"namìøená data OK";
"03.01.2025 09:15:00";1,75;"namìøená data OK";
"03.01.2025 09:30:00";1,673;"namìøená data OK";
"03.01.2025 09:45:00";1,432;"namìøená data OK";
"03.01.2025 10:00:00";1,552;"namìøená data OK";
"03.01.2025 10:15:00";1,81;"namìøená data OK";
"03.01.2025 10:30:00";1,702;"namìøená data OK";
"03.01.2025 10:45:00";1,615;"namìøená data OK";
"03.01.2025 11:00:00";1,382;"namìøená data OK";
"03.01.2025 11:15:00";1,329;"namìøená data OK";
"03.01.2025 11:30:00";1,181;"namìøená data OK";
"03.01.2025 11:45:00";1,22;"namìøená data OK";
"03.01.2025 12:00:00";1,228;"namìøená data OK";
"03.01.2025 12:15:00";1,191;"namìøená data OK";
"03.01.2025 12:30:00";1,063;"namìøená data OK";
"03.01.2025 12:45:00";1,302;"namìøená data OK";
"03.01.2025 13:00:00";1,186;"namìøená data OK";
"03.01.2025 13:15:00";1,103;"namìøená data OK";
"03.01.2025 13:30:00";0,963;"namìøená data OK";
